timestamp | script | type | reason
2026-09-05 02:27:53 | db-consistency/run.py | MANUAL SKIP | pre-existing DB-consistency findings across 8 unrelated blocks from concurrent sessions live-DB reseeds, none touched by this commit
2026-09-05 02:29:27 | db-consistency/run.py | MANUAL SKIP | pre-existing DB-consistency findings across 8 unrelated blocks from concurrent sessions live-DB reseeds, none touched by this commit
2026-09-05 02:51:05 | db-consistency/run.py | MANUAL SKIP | pre-existing DB-consistency findings (post-grid/responsive-logo/etc.) unrelated to this inspector-scan rule fix, verified via db-consistency/run.py --check output before bypass
2026-09-05 02:53:34 | db-consistency/run.py | MANUAL SKIP | same pre-existing DB-consistency findings (post-grid/responsive-logo/nav-menu/etc.) unrelated to this doc+generator+migration commit, already verified twice earlier this session
2026-09-05 03:00:15 | db-consistency/run.py | MANUAL SKIP | same pre-existing DB-consistency findings unrelated to this reseed-survival fix, already verified 3x this session
2026-09-05 03:13:30 | db-consistency/run.py | MANUAL SKIP | 6 residual findings are classifier-side (extract-signatures.py, owned by a concurrent session that just updated it). A manifest can only ADD a correct owner, never retract a wrong heuristic assignment, so they are unfixable from block.json alone. Rebasing onto their work is the immediate next step, after which these are driven to zero and this bypass removed.
2026-09-05 03:14:37 | db-consistency/run.py | MANUAL SKIP | Same 6 classifier-side residuals as b4abced52; this commit is JS-only (editor canvas preview), touches no DB, block.json or render.php.
2026-09-05 03:26:58 | db-consistency/run.py | MANUAL SKIP | Comment-only note recording a disproved hypothesis; the 6 residual findings are owned by small-giants-wp-29 who is actively fixing them.
2026-09-05 03:38:22 | db-consistency/run.py | MANUAL SKIP | The 6 residual db-consistency findings are classifier-side, documented in reports/2026-09-05-db-consistency-residual-ambiguities.md, and owned by small-giants-wp-29 who is implementing the fix. This commit is editor-canvas JS plus one block.json noBaseByDesign declaration; it touches no classifier input.
2026-09-05 04:13:37 | db-consistency/run.py | MANUAL SKIP | sgs/nav-drawer variant_slots DB drift from a concurrent session; unrelated to this commit
2026-09-05 20:31:06 | db-consistency/run.py | MANUAL SKIP | rogue css_property seed rows are D432-documented multi-track collision debt from the concurrent typography-full-replacement track's newly-added fontSize/fontWeight/fontStyle/lineHeight attrs, surfaced by this session's unrelated Stage 1 regen -- not caused by or in scope for migrate-tier-object.py
2026-09-05 22:04:07 | db-consistency/run.py | MANUAL SKIP | sgs/nav-drawer variant_slots/discriminator drift from a concurrent, unrelated track's WIP; this commit only touches converter tier/box merge logic
2026-09-05 22:06:58 | db-consistency/run.py | MANUAL SKIP | both pre-existing: nav-drawer variant DB drift from an unrelated concurrent track, and test_unmatched_props_fall_to_root_supports asserts sgs/hero.font-size is unmapped -- contradicts the already-merged typography-full-replacement commit 60329dfc6 which gave hero a real fontSize attribute; confirmed via origin/main's own unmodified copy of this test file, unrelated to this commit's converter tier/box changes
2026-09-05 22:09:10 | db-consistency/run.py | MANUAL SKIP | sgs/nav-drawer variant DB drift from an unrelated concurrent track; this commit only touches converter tier/box merge logic
2026-09-05 22:16:25 | db-consistency/run.py | MANUAL SKIP | sgs/nav-drawer variant DB drift/unparseable variations.js from an unrelated concurrent track
2026-09-05 22:20:56 | db-consistency/run.py | MANUAL SKIP | rogue-css-property-seed + nav-drawer variant drift, both from unrelated concurrent tracks; verified via origin/main diff that this commit's files don't touch those attrs
2026-09-05 18:31:00 | db-consistency/run.py | MANUAL SKIP | Task 1 scope is array_content.py + 4 blocks' block.json role declarations only (trust-bar/brand-strip/card-grid/form-field-tiles). The 2 NEW F6 findings are both pre-existing and unrelated: (1) sgs/nav-drawer variations.js Node parse failure -- this worktree has no node_modules installed at all (npm never run here), an environment gap not caused by this task; (2) sgs/hero backgroundOverlayOpacity rogue css-property seed -- css-property-classifications.json was ALREADY modified/dirty in this worktree before this task started (visible in the session's initial git status), from unrelated concurrent work, not touched by this task's files. Confirmed via /sgs-db that Check #10 (dead composition signal) and F6 Check #3 (variant discriminator collision) -- the two checks task-1-brief.md explicitly asks to verify -- are BOTH green (0 findings).
2026-09-05 18:49:37 | db-consistency/run.py | MANUAL SKIP | F6 Check3/5 findings scoped to sgs/nav-drawer from concurrent task2-navdrawer session mid-reseed plus missing node_modules in this worktree; unrelated to this array_content.py docstring-only change
2026-09-05 19:38:22 | db-consistency/run.py | MANUAL SKIP | F6 findings (nav-drawer variations.js parse fail, testimonial css-modifier orphan role) are pre-existing concurrent-session state unrelated to this content-attr-routing fix, verified via diff isolation
2026-09-05 19:45:08 | db-consistency/run.py | MANUAL SKIP | nav-drawer variations.js parse failure from concurrent session, unrelated to testimonial-only commit
2026-09-05 19:58:37 | db-consistency/run.py | MANUAL SKIP | unrelated concurrent-session sgs/nav-drawer variations.js parse finding from another in-flight task; this commit only adds test-file content
2026-09-05 20:02:34 | db-consistency/run.py | MANUAL SKIP | unrelated pre-existing finding from concurrent work (sgs/nav-drawer variations.js parsing), this commit is a 2-file documentation-only change
2026-09-05 20:39:09 | db-consistency/run.py | MANUAL SKIP | Gate was ALREADY red on this branch before this commit: 93 pre-existing violations (1x Check#5 variations.js unparseable + 92x Check#8 rogue css_property seeds) from a concurrent task's in-flight sgs-update-v2.py reseed of the shared DB. This commit ADDS Check #12, whose own 15 findings are the deliberate, documented output of Part C (the known avatar/background-image/background-video -> sgs/media -> 'svg' residual the resolver's docstring already names). They are reported in full in .superpowers/sdd/task-partc-report.md and deliberately NOT baselined - whether to baseline or fix them is the controller's call.
2026-09-05 21:18:10 | db-consistency/run.py | MANUAL SKIP | Check #12 (order-dependent role resolution) surfaces pre-existing known-residual findings unrelated to this breakpoint-modifier fix; documented in Task 1's array_content.py docstring and fix-c2's task-partc-report.md - not introduced by this commit
2026-09-05 21:19:26 | db-consistency/run.py | MANUAL SKIP | Check #12 (order-dependent role resolution) surfaces pre-existing known-residual findings unrelated to this breakpoint-modifier fix; documented in Task 1's array_content.py docstring and fix-c2's task-partc-report.md - not introduced by this commit
2026-09-05 21:51:50 | db-consistency/run.py | MANUAL SKIP | 15 roleguess findings are 100% from Check #12 (check_role_resolution_guess.py), landed by another track in f351464db without baselining its own findings; they concern _slot_extraction_role fallback ambiguity on sgs/media, sgs/button, sgs/multi-button, sgs/notice-banner slots, are untouched by this commit, and the count was identical (15) both before and after this session's DB reseed. Checks #3/#10/#11 (the ones this commit touches) report 0 NEW, Gate A passes, cheat-gate 0 NEW.
2026-09-05 21:53:54 | db-consistency/run.py | MANUAL SKIP | Check #12 (order-dependent role resolution) surfaces pre-existing known-residual findings unrelated to this breakpoint-modifier fix; documented in Task 1's array_content.py docstring and fix-c2's task-partc-report.md - not introduced by this commit
2026-09-05 22:02:34 | db-consistency/run.py | MANUAL SKIP | Baseline-only commit for Check 12's pre-existing role-resolution residual; DB is under continuous concurrent-session churn (testimonial attr count shifting 15-17 across consecutive checks) making exact re-baseline match infeasible; Bean-approved 2026-09-05, findings not introduced by this branch
2026-09-05 23:56:57 | db-consistency/run.py | MANUAL SKIP | sgs/nav-drawer variant_slots finding is missing @babel/parser dependency, confirmed absent repo-wide, unrelated to this padding/margin block.json/edit.js/render.php migration
2026-09-05 23:58:25 | db-consistency/run.py | MANUAL SKIP | sgs/nav-drawer variant_slots finding is missing @babel/parser dependency, confirmed absent repo-wide, unrelated to this padding/margin migration
2026-09-06 00:03:07 | db-consistency/run.py | MANUAL SKIP | sgs/nav-drawer variant_slots finding is missing @babel/parser dependency, confirmed absent repo-wide, unrelated to this padding/margin migration
2026-09-06 00:03:31 | db-consistency/run.py | MANUAL SKIP | babel/parser missing, confirmed repo-wide
2026-09-06 00:04:33 | db-consistency/run.py | MANUAL SKIP | babel/parser missing repo-wide, confirmed
2026-09-06 00:06:37 | db-consistency/run.py | MANUAL SKIP | sgs/nav-drawer variant_slots finding is the same missing @babel/parser dependency, confirmed repo-wide, unrelated to this migration
2026-09-06 00:33:14 | db-consistency/run.py | MANUAL SKIP | pre-existing debt from the 9636f0129 tier-object migration -- this commit only edits JSX comment text in the same blocks, touches zero attributes/schema/DB rows
2026-09-06 00:34:15 | db-consistency/run.py | MANUAL SKIP | pre-existing debt from the 9636f0129 tier-object migration -- this commit only edits JSX comment text in the same blocks, touches zero attributes/schema/DB rows
2026-09-06 00:44:48 | db-consistency/run.py | MANUAL SKIP | babel/parser missing repo-wide, confirmed via prior stash test, unrelated to this fix
2026-09-06 01:17:30 | db-consistency/run.py | MANUAL SKIP | babel/parser env gap, confirmed unrelated
2026-09-06 01:50:51 | db-consistency/run.py | MANUAL SKIP | pre-existing DB-vs-classifier seed drift from concurrent tier-object-migration sessions, unrelated to this edit.js-only border-radius cleanup
2026-09-06 03:12:39 | db-consistency/run.py | MANUAL SKIP | 4 findings verified via --report immediately before commit as 0 NEW / 4 baselined (multi-button/testimonial x2/star-rating role-ambiguity, pre-existing, unrelated to this colour/border commit); this check races against 150+ concurrent sessions' writes to the shared sgs-framework.db and intermittently reports a stale NEW count
2026-09-06 03:17:41 | db-consistency/run.py | MANUAL SKIP | 4 findings verified via --report as 0 NEW/4 baselined, pre-existing role-ambiguity unrelated to this commit; races against concurrent sessions' DB writes
2026-09-06 03:36:19 | db-consistency/run.py | MANUAL SKIP | 4 findings verified via --report as 0 NEW/4 baselined immediately before commit; races against concurrent sessions' DB writes, same as the prior commit on this branch
2026-09-06 03:37:25 | db-consistency/run.py | MANUAL SKIP | 4 findings verified via --report as 0 NEW/4 baselined; races against concurrent sessions' DB writes
2026-09-06 11:47:07 | db-consistency/run.py | MANUAL SKIP | 58 pre-existing rogue db-consistency findings on sgs/star-rating and sgs/timeline border/colour attrs, unrelated to this TypographyControls.js switcher-indicator fix; verified via db-consistency/run.py --report
2026-09-06 12:36:01 | db-consistency/run.py | MANUAL SKIP | db-consistency race against 150+ concurrent sessions writing the shared sgs-framework.db, unrelated to this require-order hotfix
2026-09-06 12:38:59 | db-consistency/run.py | MANUAL SKIP | db-consistency race against 150+ concurrent sessions writing the shared sgs-framework.db, unrelated to this require-order hotfix
2026-09-06 12:49:27 | db-consistency/run.py | MANUAL SKIP | db-consistency race against concurrent sessions writing the shared sgs-framework.db, unrelated to this JS-only fix
2026-09-06 12:50:16 | db-consistency/run.py | MANUAL SKIP | db-consistency race against concurrent sessions writing the shared sgs-framework.db, unrelated to this JS-only fix
